Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
140,0.323694,0.750635,2.886939,-0.449717,-0.002921,0
141,0.938412,1.852369,3.237204,-0.000000,-2.461665,0
142,0.986163,1.695649,4.894020,-0.000000,-2.865468,0
143,0.586181,1.520514,1.278284,-0.148936,-0.186183,0
144,0.492478,1.760646,3.043922,-0.248961,-0.038543,0
145,0.394853,1.951936,4.781883,-0.985238,-1.298830,1
146,0.523061,1.453322,2.792844,-0.495962,-0.218401,0
147,0.347975,0.583139,3.131601,-0.002380,-1.165395,0
148,0.282377,1.158039,1.847966,-0.009600,-1.050665,0
149,0.340528,1.844173,2.518841,-0.007459,-1.193107,0
150,0.270815,0.565117,2.271248,-0.465102,-0.026015,0
151,0.956138,1.273516,1.485444,-0.000000,-2.754771,0
152,0.720521,1.153583,2.907552,-0.000000,-2.049903,0
153,0.992287,1.568889,2.139583,-0.000000,-2.804903,0
154,0.590127,1.406076,3.029318,-0.015612,-1.777861,0
155,0.511648,1.504322,3.207186,-0.985661,-1.591837,1
156,0.470631,1.847383,3.132854,-0.227499,-0.046639,0
157,0.241511,0.978449,3.151170,-0.110377,-0.903444,0
158,0.459212,1.485583,0.165511,-0.001447,-1.505626,0
159,0.551557,1.207757,3.722259,-0.000000,-1.685113,0
160,0.566730,1.713131,4.103349,-0.000000,-1.733312,0
161,0.868376,1.454312,2.454243,-0.000000,-2.365138,0
162,0.747693,1.557470,4.622274,-0.000000,-1.981537,0
163,0.862271,0.863723,0.542466,-0.000299,-2.411575,0
164,0.951543,1.648634,1.069670,-0.253616,-0.088431,0
165,0.426053,1.815379,4.980739,-0.002497,-1.368175,0
166,0.134217,0.556315,4.987120,-0.000000,-0.634186,0
167,0.841663,1.394193,3.316547,-0.000000,-2.275732,0
168,0.531692,1.972679,3.389849,-0.982398,-1.660301,1
169,0.919437,0.975378,1.315510,-0.000000,-2.626556,0
170,0.239682,0.860358,4.252909,-0.331820,-0.141982,0
171,0.316879,1.831533,1.773798,-0.000665,-1.180793,0
172,0.953278,0.732972,1.806831,-0.000000,-2.643093,0
173,0.720599,0.598747,3.228696,-0.000000,-2.034343,0
174,0.745986,0.618217,1.054312,-0.000000,-2.083253,0
175,0.644031,1.957801,2.367755,-0.184222,-0.398669,0
176,0.407714,0.563537,1.883984,-0.005723,-1.348455,0
177,0.955001,1.944143,2.504062,-0.000000,-2.650781,0
178,0.682889,1.565590,0.191602,-0.077613,-1.991410,0
179,0.965129,0.634564,2.690245,-0.000000,-2.545483,0
180,0.781908,0.611897,4.975332,-0.000000,-2.076140,0
181,0.934130,1.913201,4.877435,-0.000000,-2.683849,0
182,0.719939,1.367456,2.783755,-0.000000,-2.042936,0
183,0.661091,1.024793,2.338768,-0.000008,-1.936261,0
184,0.898120,0.644115,1.661823,-0.000000,-2.501292,0
185,0.181321,1.649904,3.692040,-0.000607,-0.828285,0
186,0.286900,1.764980,4.565799,-0.130569,-1.031148,0
187,0.612674,1.923463,4.069711,-0.000000,-1.845965,0
188,0.532409,1.130451,1.000378,-0.166813,-0.175144,0
189,0.317033,1.860385,4.087363,-0.116752,-1.113327,0
190,0.714683,0.828121,3.611422,-0.000000,-1.944799,0
191,0.589593,0.662422,0.135170,-0.923047,-2.100630,1
192,0.432352,1.442274,3.072751,-0.240627,-0.062061,0
193,0.341678,1.311723,4.963957,-0.988492,-1.158191,1
194,0.162525,0.929961,1.376572,-0.000371,-0.768820,0
195,0.722452,1.314841,4.082150,-0.000000,-1.967817,0
196,0.891266,1.016169,3.069086,-0.000000,-2.499562,0
197,0.229647,1.186713,4.737898,-0.205019,-0.860525,0
198,0.606473,1.107624,2.269833,-0.113469,-1.829690,0
199,0.389877,1.148621,0.328125,-0.009058,-1.314740,0
