Index,X_0,X_1,X_2,Fitness_0,Fitness_1,Critical
61,0.437500,0.750000,1.875000,-0.997239,-1.408486,1
62,0.287500,0.562500,2.500000,-0.998424,-1.000454,1
63,0.400000,1.000000,3.333333,-0.998132,-1.318540,1
64,0.662500,1.687500,2.291667,-0.993206,-1.937700,1
65,0.437500,0.750000,1.458333,-0.975677,-2.404878,1
66,0.550000,0.812500,1.041667,-0.963837,-2.529333,1
67,0.587500,0.750000,0.000000,-0.900423,-2.708654,1
68,0.587500,0.875000,1.041667,-0.905228,-2.622499,1
69,0.475000,1.437500,3.125000,-0.826579,-2.747399,1
70,0.437500,0.875000,1.041667,-0.737193,-2.785988,1
71,1.000000,1.000000,0.000000,-0.981932,-2.137603,1
72,0.437500,1.437500,3.958333,-0.996807,-1.408486,1
73,0.400000,0.625000,1.250000,-0.998071,-1.318540,1
74,0.662500,1.937500,2.500000,-0.992425,-1.937700,1
75,0.437500,0.687500,0.833333,-0.973835,-2.386000,1
76,0.550000,0.750000,0.833333,-0.974175,-2.349817,1
77,0.437500,0.625000,0.208333,-0.943021,-2.386158,1
78,0.475000,0.687500,0.625000,-0.926389,-2.393122,1
79,0.437500,1.125000,2.500000,-0.850371,-2.651404,1
80,0.550000,0.812500,0.833333,-0.880741,-2.606809,1
81,0.437500,1.437500,3.541667,-0.891163,-2.539045,1
82,0.550000,0.750000,0.208333,-0.794430,-2.669823,1
83,0.437500,0.937500,1.458333,-0.723218,-2.784604,1
84,0.775000,1.875000,1.875000,-0.980388,-2.103349,1
85,0.437500,1.312500,3.750000,-0.996689,-1.408486,1
86,0.400000,0.562500,0.625000,-0.998059,-1.318540,1
87,0.475000,1.625000,3.541667,-0.991419,-1.515945,1
88,0.587500,1.875000,2.916667,-0.991297,-1.773916,1
89,0.662500,2.000000,2.500000,-0.988286,-1.937700,1
90,0.550000,0.687500,0.416667,-0.973319,-2.350263,1
91,0.437500,0.687500,0.625000,-0.868799,-2.452960,1
92,0.475000,0.687500,0.208333,-0.833528,-2.498144,1
93,0.512500,0.812500,1.041667,-0.727209,-2.668771,1
94,0.550000,0.875000,1.250000,-0.767106,-2.606809,1
95,0.437500,1.187500,2.708333,-0.737142,-2.651404,1
96,0.437500,1.375000,3.333333,-0.776478,-2.585812,1
97,0.775000,1.625000,1.666667,-0.978499,-2.103349,1
98,0.437500,1.875000,4.375000,-0.996224,-1.408486,1
99,0.400000,0.812500,2.500000,-0.997366,-1.318540,1
100,0.325000,1.000000,4.375000,-0.998005,-1.116973,1
101,0.475000,1.812500,3.750000,-0.991382,-1.515945,1
102,0.587500,1.625000,2.708333,-0.988755,-1.773916,1
103,0.512500,2.000000,3.541667,-0.990634,-1.594211,1
104,0.625000,2.000000,2.708333,-0.984995,-1.870389,1
105,0.437500,0.625000,0.625000,-0.875981,-2.328226,1
106,0.400000,0.750000,1.875000,-0.964376,-2.288620,1
107,0.925000,0.937500,0.000000,-0.971554,-2.226917,1
108,0.437500,0.812500,1.875000,-0.865705,-2.336735,1
109,0.475000,0.812500,1.458333,-0.833207,-2.464139,1
110,0.550000,0.937500,1.666667,-0.735040,-2.529333,1
111,0.775000,1.812500,1.875000,-0.976705,-2.103349,1
112,0.437500,1.062500,3.125000,-0.996131,-1.408486,1
113,0.400000,1.250000,3.958333,-0.997134,-1.318540,1
114,0.325000,0.812500,3.541667,-0.998003,-1.116973,1
115,0.475000,1.437500,3.333333,-0.991285,-1.515945,1
116,0.587500,1.812500,2.916667,-0.987084,-1.773916,1
117,0.512500,1.750000,3.333333,-0.990093,-1.594211,1
118,0.625000,1.750000,2.500000,-0.984843,-1.870389,1
119,0.437500,0.750000,1.666667,-0.905005,-2.283038,1
120,0.812500,2.000000,1.875000,-0.951737,-2.230176,1
121,0.400000,0.625000,0.208333,-0.782550,-2.386111,1
122,0.400000,0.750000,0.416667,-0.743223,-2.431632,1
