Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
295,0.667998,0.857572,0.488754,-0.972243,-2.926898
296,0.667722,0.834556,0.363012,-0.998477,-2.926841
297,0.667722,0.834556,0.362892,-0.998477,-2.926841
298,0.731422,0.853386,0.011206,-0.892802,-2.962303
299,0.729865,0.846081,0.011250,-0.956498,-2.962233
300,0.730183,0.845121,0.001915,-0.930336,-2.962289
301,0.731417,0.853386,0.011128,-0.892802,-2.962303
302,0.667722,0.839582,0.495383,-0.960249,-2.756489
303,0.846212,0.915826,0.011302,-0.980289,-2.953436
304,0.667730,0.834556,0.358003,-0.999647,-2.926841
305,0.667730,0.834556,0.355045,-0.999647,-2.926841
306,0.846094,0.918532,0.004396,-0.965102,-3.067276
307,0.846094,0.915826,0.011302,-0.980207,-2.953436
308,0.667730,0.834556,0.363147,-0.998777,-2.926841
309,0.846094,0.918532,0.011302,-0.960927,-2.964803
310,0.846094,0.918532,0.011237,-0.960927,-2.964803
311,0.667998,0.857572,0.488754,-0.972243,-2.926898
312,0.667722,0.834556,0.363012,-0.998477,-2.926841
313,0.667722,0.834556,0.362892,-0.998477,-2.926841
314,0.731422,0.853386,0.011206,-0.892802,-2.962303
315,0.729865,0.846081,0.011250,-0.956498,-2.962233
316,0.730183,0.845121,0.001915,-0.930336,-2.962289
317,0.731417,0.853386,0.011128,-0.892802,-2.962303
318,0.667722,0.839582,0.495383,-0.960249,-2.756489
319,0.667738,0.857572,0.360196,-0.827346,-2.842439
320,0.846212,0.915826,0.011302,-0.980289,-2.953436
321,0.667730,0.834556,0.358003,-0.999647,-2.926841
322,0.667730,0.834556,0.355045,-0.999647,-2.926841
323,0.846094,0.918532,0.004396,-0.965102,-3.067276
324,0.846094,0.918532,0.004633,-0.965102,-3.067276
325,0.846094,0.915826,0.011302,-0.980207,-2.953436
326,0.667730,0.834556,0.363147,-0.998777,-2.926841
327,0.846094,0.918532,0.011302,-0.960927,-2.964803
328,0.846094,0.918532,0.011237,-0.960927,-2.964803
329,0.846094,0.918532,0.011000,-0.960927,-2.964803
330,0.731422,0.853386,0.011206,-0.892802,-2.962303
331,0.667722,0.834556,0.363012,-0.998477,-2.926841
332,0.730183,0.845121,0.001915,-0.930336,-2.962289
333,0.667998,0.857572,0.488754,-0.972243,-2.926898
334,0.729865,0.846081,0.011250,-0.956498,-2.962233
335,0.667722,0.834556,0.362892,-0.998477,-2.926841
336,0.846212,0.915826,0.011302,-0.980289,-2.953436
337,0.667730,0.834556,0.358003,-0.999647,-2.926841
338,0.667730,0.834556,0.355045,-0.999647,-2.926841
339,0.846094,0.918532,0.004396,-0.965102,-3.067276
340,0.846094,0.918532,0.004633,-0.965102,-3.067276
341,0.846094,0.915826,0.011302,-0.980207,-2.953436
342,0.667730,0.834556,0.363147,-0.998777,-2.926841
343,0.846094,0.918532,0.011302,-0.960927,-2.964803
344,0.846094,0.918532,0.011237,-0.960927,-2.964803
345,0.846094,0.918532,0.011000,-0.960927,-2.964803
346,0.731422,0.853386,0.011206,-0.892802,-2.962303
347,0.667722,0.834556,0.363012,-0.998477,-2.926841
348,0.730183,0.845121,0.001915,-0.930336,-2.962289
349,0.667998,0.857572,0.488754,-0.972243,-2.926898
350,0.729865,0.846081,0.011250,-0.956498,-2.962233
351,0.730013,0.846081,0.011249,-0.949580,-2.962273
352,0.846212,0.915826,0.011302,-0.980289,-2.953436
353,0.667730,0.834556,0.358003,-0.999647,-2.926841
354,0.667730,0.834556,0.355045,-0.999647,-2.926841
355,0.846212,0.915826,0.011469,-0.980289,-2.953436
356,0.843234,0.918532,0.004396,-0.969916,-3.155605
357,0.667730,0.834556,0.363147,-0.998777,-2.926841
358,0.846094,0.915826,0.011302,-0.980207,-2.953436
359,0.846094,0.918532,0.004396,-0.965102,-3.067276
360,0.846094,0.918532,0.004633,-0.965102,-3.067276
361,0.845430,0.918532,0.004633,-0.952199,-3.067279
362,0.667722,0.834556,0.363012,-0.998477,-2.926841
363,0.846094,0.918532,0.011302,-0.960927,-2.964803
364,0.667998,0.857572,0.488754,-0.972243,-2.926898
365,0.667730,0.834556,0.358003,-0.999647,-2.926841
366,0.667730,0.834556,0.355045,-0.999647,-2.926841
367,0.843234,0.918532,0.004396,-0.969916,-3.155605
368,0.843234,0.915610,0.004396,-0.986767,-2.978424
369,0.667722,0.837478,0.363012,-0.999636,-2.926841
370,0.846094,0.918532,0.004396,-0.965102,-3.067276
371,0.846094,0.918532,0.004633,-0.965102,-3.067276
372,0.848205,0.918532,0.004633,-0.959353,-3.067396
373,0.846212,0.915826,0.011302,-0.980289,-2.953436
374,0.846212,0.915826,0.011469,-0.980289,-2.953436
375,0.845430,0.918532,0.004633,-0.952199,-3.067279
376,0.667730,0.834556,0.363147,-0.998777,-2.926841
377,0.846094,0.918532,0.011302,-0.960927,-2.964803
378,0.846094,0.915826,0.011302,-0.980207,-2.953436
379,0.667730,0.834556,0.358003,-0.999647,-2.926841
380,0.667730,0.834556,0.355045,-0.999647,-2.926841
381,0.843234,0.918532,0.004396,-0.969916,-3.155605
382,0.843234,0.915610,0.004396,-0.986767,-2.978424
383,0.843234,0.926189,0.000804,-0.945441,-3.269091
384,0.667730,0.834556,0.359984,-0.999647,-2.926841
385,0.846094,0.918532,0.004396,-0.965102,-3.067276
386,0.846094,0.918532,0.004633,-0.965102,-3.067276
387,0.848205,0.918532,0.004633,-0.959353,-3.067396
388,0.848205,0.918532,0.005919,-0.959353,-3.067396
389,0.846212,0.915826,0.011302,-0.980289,-2.953436
390,0.846212,0.915826,0.011469,-0.980289,-2.953436
391,0.848205,0.918532,0.011647,-0.979754,-2.964691
392,0.667722,0.837478,0.363012,-0.999636,-2.926841
393,0.845430,0.918532,0.004633,-0.952199,-3.067279
394,0.667730,0.834556,0.363147,-0.998777,-2.926841
395,0.667730,0.834556,0.358003,-0.999647,-2.926841
396,0.667730,0.834556,0.355045,-0.999647,-2.926841
397,0.843234,0.915610,0.004396,-0.986767,-2.978424
398,0.843234,0.926189,0.000804,-0.945441,-3.269091
399,0.667730,0.834556,0.359984,-0.999647,-2.926841
400,0.843234,0.926189,0.000786,-0.945441,-3.269091
401,0.849140,0.926189,0.000804,-0.972467,-3.181399
402,0.846212,0.915826,0.011302,-0.980289,-2.953436
403,0.846212,0.915826,0.011469,-0.980289,-2.953436
404,0.848205,0.918532,0.011647,-0.979754,-2.964691
405,0.667722,0.837478,0.363012,-0.999636,-2.926841
406,0.843234,0.918532,0.004396,-0.969916,-3.155605
407,0.843234,0.918532,0.004414,-0.969916,-3.155605
408,0.843234,0.926189,0.000804,-0.945441,-3.269091
409,0.843234,0.926189,0.000786,-0.945441,-3.269091
410,0.849140,0.926189,0.000804,-0.972467,-3.181399
411,0.844897,0.915610,0.001947,-0.996157,-3.052948
412,0.667730,0.834556,0.347597,-0.999796,-2.926841
413,0.849488,0.918532,0.011647,-0.992840,-3.053059
414,0.843234,0.918532,0.004396,-0.969916,-3.155605
415,0.843234,0.918532,0.004414,-0.969916,-3.155605
416,0.667730,0.834556,0.358003,-0.999647,-2.926841
417,0.667730,0.834556,0.355045,-0.999647,-2.926841
418,0.667730,0.834556,0.359984,-0.999647,-2.926841
419,0.667730,0.834556,0.359368,-0.999647,-2.926841
420,0.843234,0.915610,0.004396,-0.986767,-2.978424
421,0.843234,0.926189,0.000804,-0.945441,-3.269091
422,0.843234,0.926189,0.000786,-0.945441,-3.269091
423,0.849140,0.926189,0.000804,-0.972467,-3.181399
424,0.844897,0.915610,0.001947,-0.996157,-3.052948
425,0.667730,0.834556,0.347597,-0.999796,-2.926841
426,0.849488,0.918532,0.011647,-0.992840,-3.053059
427,0.849140,0.931837,0.000783,-0.955225,-3.194931
428,0.843234,0.918532,0.004396,-0.969916,-3.155605
429,0.843234,0.918532,0.004414,-0.969916,-3.155605
430,0.667730,0.834556,0.358003,-0.999647,-2.926841
431,0.667730,0.834556,0.355045,-0.999647,-2.926841
432,0.667730,0.834556,0.359984,-0.999647,-2.926841
433,0.667730,0.834556,0.359368,-0.999647,-2.926841
434,0.667730,0.834556,0.355045,-0.999647,-2.926841
435,0.843234,0.915610,0.004396,-0.986767,-2.978424
436,0.843234,0.915610,0.001886,-0.986767,-2.978424
437,0.843234,0.926189,0.000804,-0.945441,-3.269091
438,0.843234,0.926189,0.000786,-0.945441,-3.269091
439,0.849140,0.926189,0.000804,-0.972467,-3.181399
440,0.844897,0.915610,0.001947,-0.996157,-3.052948
441,0.667730,0.834556,0.347597,-0.999796,-2.926841
442,0.849488,0.918532,0.011647,-0.992840,-3.053059
443,0.849140,0.931837,0.000783,-0.955225,-3.194931
444,0.843234,0.926189,0.000632,-0.945441,-3.269091
445,0.843234,0.918532,0.004396,-0.969916,-3.155605
446,0.843234,0.918532,0.004414,-0.969916,-3.155605
447,0.667730,0.834556,0.358003,-0.999647,-2.926841
448,0.667730,0.834556,0.355045,-0.999647,-2.926841
449,0.667730,0.834556,0.359984,-0.999647,-2.926841
450,0.667730,0.834556,0.359368,-0.999647,-2.926841
451,0.667730,0.834556,0.355045,-0.999647,-2.926841
452,0.843234,0.915610,0.004396,-0.986767,-2.978424
453,0.843234,0.915610,0.001886,-0.986767,-2.978424
454,0.843234,0.926885,0.000804,-0.940865,-3.269091
455,0.843234,0.926189,0.000804,-0.945441,-3.269091
456,0.843234,0.926189,0.000786,-0.945441,-3.269091
457,0.849140,0.926189,0.000804,-0.972467,-3.181399
458,0.844897,0.915610,0.001947,-0.996157,-3.052948
459,0.667730,0.834556,0.347597,-0.999796,-2.926841
460,0.849488,0.918532,0.011647,-0.992840,-3.053059
461,0.849140,0.931837,0.000783,-0.955225,-3.194931
462,0.843234,0.926189,0.000632,-0.945441,-3.269091
463,0.849140,0.926189,0.040720,-0.983892,-3.053062
464,0.843234,0.926189,0.002097,-0.945441,-3.269091
