Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
176,0.866964,1.184266,0.093894,-0.247010,-0.135449,0
177,0.721951,1.001291,2.247193,-0.000000,-2.045267,0
178,0.371646,1.479990,4.127417,-0.357645,-0.124994,0
179,0.493403,1.589436,3.891062,-0.036237,-1.570391,0
180,0.301801,1.849184,4.532702,-0.174848,-1.060736,0
181,0.845441,1.456171,4.265365,-0.000000,-2.246943,0
182,0.184036,1.877654,4.955633,-0.003024,-0.810163,0
183,0.183919,0.554313,1.304770,-0.031339,-0.736256,0
184,0.653909,1.415932,4.932015,-0.000000,-1.828299,0
185,0.391628,1.232005,1.077240,-0.025215,-1.323176,0
186,0.812810,0.766959,4.814356,-0.000000,-2.134005,0
187,0.482327,1.065941,3.040003,-0.181912,-1.536765,0
188,0.249726,1.122454,2.679457,-0.017333,-0.954192,0
189,0.364498,1.482227,1.573172,-0.007962,-1.269664,0
190,0.977869,1.392640,1.441055,-0.000001,-2.828314,0
191,0.803168,0.926905,0.441798,-0.426526,-2.191604,0
192,0.686211,0.574980,0.928408,-0.000000,-2.001598,0
193,0.489153,1.331883,1.130675,-0.177310,-1.555527,0
194,0.867739,1.882721,1.251218,-0.185715,-3.145884,0
195,0.183323,1.315627,2.045425,-0.000142,-0.850043,0
196,0.315455,1.066675,1.120740,-0.014575,-1.130579,0
197,0.891033,1.370706,2.985593,-0.000000,-2.509669,0
198,0.694355,0.685412,0.782776,-0.000051,-1.999637,0
199,0.864657,1.663098,3.529175,-0.000000,-2.334287,0
