Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive
374,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
375,0.658643,0.886248,0.726393,-0.977498,-2.920104,-8.076807
376,0.435453,0.641255,0.341452,-0.993634,-2.430980,-10.396373
377,0.647462,0.877814,0.745546,-0.977976,-2.908761,-7.606743
378,0.598364,1.377204,1.989343,-0.855825,-3.352799,-7.144981
379,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
380,0.597937,1.384563,1.998913,-0.818698,-3.352006,-8.351983
381,0.691439,0.880090,0.429718,-0.888261,-2.943676,-10.396373
382,0.635647,0.856595,0.670173,-0.996743,-2.813768,-8.351983
383,0.636656,0.856595,0.670173,-0.984865,-2.814909,-8.785118
384,0.663539,0.891442,0.670214,-0.912597,-2.923838,-9.181490
385,0.690321,0.880090,0.540687,-0.994536,-2.857162,-8.351983
386,0.658643,0.886248,0.670214,-0.928289,-2.920104,-10.396373
387,0.663213,0.885798,0.666143,-0.950512,-2.923779,-8.438549
388,0.658643,0.891442,0.670214,-0.873079,-2.920104,-10.515351
389,0.648975,0.885798,0.745546,-0.961372,-2.910798,-10.515351
390,0.665629,0.888174,0.656868,-0.934843,-2.925336,-8.351983
391,0.598364,1.377204,1.989343,-0.855825,-3.352799,-7.144981
392,0.439210,0.641668,0.341440,-0.994094,-2.461706,-9.696669
393,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
394,0.658643,0.886248,0.726393,-0.977498,-2.920104,-8.076807
395,0.435453,0.641255,0.341452,-0.993634,-2.430980,-10.396373
396,0.597937,1.384563,1.998913,-0.818698,-3.352006,-8.351983
397,0.598364,1.377599,1.989343,-0.852875,-3.352799,-7.388857
398,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
399,0.665629,0.888174,0.656868,-0.934843,-2.925336,-8.351983
400,0.691439,0.880090,0.429718,-0.888261,-2.943676,-10.396373
401,0.690321,0.880090,0.428204,-0.855716,-2.856634,-11.366357
402,0.636656,0.856595,0.670173,-0.984865,-2.814909,-8.785118
403,0.635647,0.856595,0.670173,-0.996743,-2.813768,-8.351983
404,0.647462,0.877814,0.745546,-0.977976,-2.908761,-7.606743
405,0.658643,0.886248,0.670214,-0.928289,-2.920104,-10.396373
406,0.663213,0.885798,0.666143,-0.950512,-2.923779,-8.438549
407,0.647295,0.868917,0.682186,-0.987045,-2.908758,-7.144981
408,0.658643,0.891442,0.670214,-0.873079,-2.920104,-10.515351
409,0.648975,0.885798,0.745546,-0.961372,-2.910798,-10.515351
410,0.663539,0.891442,0.670214,-0.912597,-2.923838,-9.181490
411,0.439210,0.641668,0.341440,-0.994094,-2.461706,-9.696669
412,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
413,0.658643,0.886248,0.726393,-0.977498,-2.920104,-8.076807
414,0.435453,0.641255,0.341452,-0.993634,-2.430980,-10.396373
415,0.597937,1.384563,1.998913,-0.818698,-3.352006,-8.351983
416,0.649764,0.880090,0.673516,-0.902816,-2.827907,-11.621701
417,0.665629,0.888174,0.656868,-0.934843,-2.925336,-8.351983
418,0.691439,0.880090,0.429718,-0.888261,-2.943676,-10.396373
419,0.690321,0.880090,0.428204,-0.855716,-2.856634,-11.366357
420,0.636656,0.856595,0.670173,-0.984865,-2.814909,-8.785118
421,0.635647,0.856595,0.670173,-0.996743,-2.813768,-8.351983
422,0.647462,0.877814,0.745546,-0.977976,-2.908761,-7.606743
423,0.658643,0.886248,0.670214,-0.928289,-2.920104,-10.396373
424,0.663213,0.885798,0.666143,-0.950512,-2.923779,-8.438549
425,0.647295,0.868917,0.682186,-0.987045,-2.908758,-7.144981
426,0.658643,0.891442,0.670214,-0.873079,-2.920104,-10.515351
427,0.648975,0.885798,0.745546,-0.961372,-2.910798,-10.515351
428,0.663539,0.891442,0.670214,-0.912597,-2.923838,-9.181490
429,0.598364,1.378201,1.991050,-0.875334,-3.352799,-7.706796
430,0.647295,0.868917,0.682186,-0.987045,-2.908758,-7.144981
431,0.690321,0.880090,0.428204,-0.855716,-2.856634,-11.366357
432,0.439210,0.641668,0.341440,-0.994094,-2.461706,-9.696669
433,0.647295,0.868917,0.673516,-0.982910,-2.908758,-10.939875
434,0.658643,0.886248,0.726393,-0.977498,-2.920104,-8.076807
