Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
314,0.436776,0.840899,0.871750,-0.868920,-2.781730
315,0.433652,0.711062,1.260470,-0.998364,-2.389604
316,0.433680,0.840899,0.879412,-0.804579,-2.767087
317,0.485986,0.783336,1.260438,-0.977100,-2.483318
318,0.433652,0.718339,1.260470,-0.999981,-2.389604
319,0.488286,0.713224,0.688993,-0.979824,-2.561999
320,0.480768,0.715490,0.689572,-0.988062,-2.460015
321,0.433652,0.718339,1.263221,-0.999981,-2.389604
322,0.479737,0.715490,0.689572,-0.988442,-2.457891
323,0.437807,0.840899,0.871750,-0.879877,-2.785608
324,0.486274,0.783091,1.258868,-0.983595,-2.483900
325,0.427000,0.840899,1.021531,-0.900567,-2.725527
326,0.437251,0.840339,0.871942,-0.880147,-2.783970
327,0.436749,0.718406,1.278500,-0.993602,-2.391589
328,0.436749,0.718406,1.279355,-0.993602,-2.391589
329,0.486274,0.798953,1.258868,-0.927869,-2.552261
330,0.486274,0.798953,1.258815,-0.927869,-2.552261
331,0.487028,0.799434,1.285781,-0.945493,-2.486288
332,0.433652,0.718406,1.286163,-0.999568,-2.389604
333,0.433652,0.718406,1.288262,-0.999568,-2.389604
334,0.470628,0.727710,1.217377,-0.999883,-1.500918
335,0.486274,0.783954,1.258868,-0.983594,-2.483900
336,0.426444,0.840339,1.021723,-0.896853,-2.719888
337,0.437048,0.842564,0.870820,-0.849913,-2.782834
338,0.436776,0.840899,0.871750,-0.868920,-2.781730
339,0.433652,0.711062,1.260470,-0.998364,-2.389604
340,0.433680,0.840899,0.879412,-0.804579,-2.767087
341,0.485986,0.783336,1.260438,-0.977100,-2.483318
342,0.433652,0.718339,1.260470,-0.999981,-2.389604
343,0.488286,0.713224,0.688993,-0.979824,-2.561999
344,0.480768,0.715490,0.689572,-0.988062,-2.460015
345,0.433652,0.718339,1.263221,-0.999981,-2.389604
346,0.479737,0.715490,0.689572,-0.988442,-2.457891
347,0.437807,0.840899,0.871750,-0.879877,-2.785608
348,0.427000,0.840899,1.021531,-0.900567,-2.725527
349,0.437251,0.840339,0.871942,-0.880147,-2.783970
350,0.436749,0.718406,1.278500,-0.993602,-2.391589
351,0.436749,0.718406,1.279355,-0.993602,-2.391589
352,0.486274,0.783336,1.260476,-0.983596,-2.483900
353,0.436749,0.718406,1.275685,-0.993602,-2.391589
354,0.433652,0.718339,1.260469,-0.999981,-2.389604
355,0.486274,0.798953,1.258868,-0.927869,-2.552261
356,0.486274,0.798953,1.258815,-0.927869,-2.552261
357,0.487028,0.799434,1.285781,-0.945493,-2.486288
358,0.426444,0.840339,1.021723,-0.896853,-2.719888
359,0.437048,0.842564,0.870820,-0.849913,-2.782834
360,0.436776,0.840899,0.871750,-0.868920,-2.781730
361,0.486274,0.783091,1.258868,-0.983595,-2.483900
362,0.433652,0.718406,1.286163,-0.999568,-2.389604
363,0.433652,0.718406,1.288262,-0.999568,-2.389604
364,0.470628,0.727710,1.217377,-0.999883,-1.500918
365,0.433680,0.840899,0.879412,-0.804579,-2.767087
366,0.486274,0.783954,1.258868,-0.983594,-2.483900
367,0.433652,0.711062,1.260470,-0.998364,-2.389604
368,0.470628,0.727710,1.220193,-0.999749,-1.500918
369,0.433652,0.718339,1.260470,-0.999981,-2.389604
370,0.488286,0.713224,0.688993,-0.979824,-2.561999
371,0.480768,0.715490,0.689572,-0.988062,-2.460015
372,0.433652,0.718339,1.263221,-0.999981,-2.389604
373,0.479737,0.715490,0.689572,-0.988442,-2.457891
374,0.437807,0.840899,0.871750,-0.879877,-2.785608
375,0.437251,0.840339,0.871942,-0.880147,-2.783970
376,0.436749,0.718406,1.278500,-0.993602,-2.391589
377,0.436749,0.718406,1.279355,-0.993602,-2.391589
378,0.486274,0.783336,1.260476,-0.983596,-2.483900
379,0.436749,0.718406,1.275685,-0.993602,-2.391589
380,0.433652,0.718339,1.260469,-0.999981,-2.389604
381,0.427089,0.841179,1.021531,-0.901051,-2.726186
382,0.470648,0.727710,1.029577,-0.985440,-2.465065
383,0.486274,0.798953,1.258868,-0.927869,-2.552261
384,0.486274,0.798953,1.258815,-0.927869,-2.552261
385,0.487028,0.799434,1.285781,-0.945493,-2.486288
386,0.437048,0.842564,0.870820,-0.849913,-2.782834
387,0.436776,0.840899,0.871750,-0.868920,-2.781730
388,0.486274,0.783091,1.258868,-0.983595,-2.483900
389,0.433652,0.718406,1.286163,-0.999568,-2.389604
390,0.433652,0.718406,1.288262,-0.999568,-2.389604
391,0.470628,0.727710,1.217377,-0.999883,-1.500918
392,0.427000,0.840899,1.021531,-0.900567,-2.725527
393,0.427000,0.840899,1.026065,-0.900567,-2.725527
394,0.470628,0.727710,1.220193,-0.999749,-1.500918
395,0.433652,0.718339,1.260470,-0.999981,-2.389604
396,0.488286,0.713224,0.688993,-0.979824,-2.561999
397,0.480768,0.715490,0.689572,-0.988062,-2.460015
