Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive
147,0.601114,0.845202,0.775554,-0.955639,-2.728797,-6.738295
148,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
149,0.596207,0.824913,0.739135,-0.995641,-2.724228,-6.263618
150,0.598923,0.840788,0.839464,-0.990093,-2.725374,-6.896531
151,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354
152,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
153,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
154,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
155,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
156,0.624060,0.862907,0.780005,-0.991868,-2.797196,-5.881192
157,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
158,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
159,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
160,0.601114,0.845202,0.775554,-0.955639,-2.728797,-6.738295
161,0.598923,0.840788,0.839464,-0.990093,-2.725374,-6.896531
162,0.596207,0.824913,0.739135,-0.995641,-2.724228,-6.263618
163,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
164,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354
165,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
166,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
167,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
168,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
169,0.624060,0.862907,0.780005,-0.991868,-2.797196,-5.881192
170,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
171,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
172,0.598923,0.840788,0.839464,-0.990093,-2.725374,-6.896531
173,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
174,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354
175,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
176,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
177,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
178,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
179,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
180,0.624060,0.862907,0.780005,-0.991868,-2.797196,-5.881192
181,0.624060,0.862124,0.780232,-0.993298,-2.797196,-5.485278
182,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
183,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
184,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354
185,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
186,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
187,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
188,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
189,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
190,0.624060,0.862124,0.780232,-0.993298,-2.797196,-5.485278
191,0.624060,0.862907,0.780005,-0.991868,-2.797196,-5.881192
192,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
193,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
194,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354
195,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
196,0.624060,0.862124,0.780232,-0.993298,-2.797196,-5.485278
197,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
198,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
199,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
200,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
201,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
202,0.624060,0.862907,0.780005,-0.991868,-2.797196,-5.881192
203,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
204,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354
205,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
206,0.624060,0.862124,0.780232,-0.993298,-2.797196,-5.485278
207,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
208,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
209,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
210,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
211,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
212,0.624060,0.862907,0.780005,-0.991868,-2.797196,-5.881192
213,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354
214,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
215,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
216,0.624060,0.862124,0.780232,-0.993298,-2.797196,-5.485278
217,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
218,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
219,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
220,0.644127,0.877168,0.761806,-0.981062,-2.823205,-5.694179
221,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
222,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
223,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354
224,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255
225,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928
226,0.624060,0.862124,0.780232,-0.993298,-2.797196,-5.485278
227,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917
228,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329
229,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220
230,0.644127,0.877168,0.761806,-0.981062,-2.823205,-5.694179
231,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618
232,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147
233,0.602036,0.840788,0.764385,-0.990427,-2.732331,-5.694209
234,0.624060,0.862124,0.759336,-0.980398,-2.797196,-5.694209
235,0.642848,0.882419,0.791173,-0.977658,-2.821719,-5.694209
236,0.624060,0.862124,0.780232,-0.993298,-2.797196,-5.485278
