Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Min Adapted Distance,Fitness_Velocity At Min Adapted Distance,Fitness_Distance Archive,Critical
1518,0.611324,1.548450,2.427753,-0.998074,-1.846648,-8.417904,0
1519,0.715224,1.416829,1.284121,-0.514251,-3.760319,-6.534329,0
1520,0.594262,1.460579,2.499595,-0.988039,-1.790725,-10.308850,0
1521,0.814703,1.403758,0.746438,-0.659337,-4.330735,-5.946311,0
1522,0.644301,0.888340,0.761806,-0.897620,-2.905997,-5.476608,0
1523,0.715224,1.416914,1.284121,-0.513422,-3.760319,-6.576264,0
1524,0.726233,1.419775,1.275636,-0.631937,-3.743212,-10.308850,0
1525,0.594642,0.852485,0.761806,-0.779178,-2.636991,-7.935787,0
1526,0.726233,1.417386,1.270064,-0.654912,-3.743212,-8.417904,0
1527,0.646974,1.703311,2.345459,-0.999260,-1.928939,-5.694179,0
1528,0.814703,1.402620,0.761396,-0.699593,-4.324776,-5.694209,0
1529,0.715459,1.418345,1.294484,-0.540555,-3.760648,-6.168354,0
1530,0.611206,1.550964,2.262923,-0.731144,-3.338248,-7.655255,0
1531,0.726691,1.429206,1.275636,-0.544877,-3.743266,-6.186147,0
1532,0.555084,1.460579,2.499595,-0.802112,-3.092711,-6.738295,0
1533,0.642897,1.703311,2.345459,-0.683051,-3.475726,-6.738295,0
1534,0.611324,1.583175,2.345421,-0.783969,-3.339285,-7.006220,0
1535,0.594631,1.519596,2.379994,-0.883334,-3.290711,-6.732961,0
1536,0.611806,1.550964,2.262923,-0.742044,-3.340834,-5.946311,0
1537,0.728820,1.419775,1.275636,-0.657392,-3.700822,-6.791926,0
1538,0.623544,1.296577,2.135342,-0.982383,-1.869421,-8.369867,0
1539,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354,1
1540,0.548937,0.997852,0.780005,-0.667476,-3.241599,-7.935787,0
1541,0.599138,0.852485,0.761806,-0.839545,-2.727468,-7.006220,0
1542,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917,1
1543,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255,1
1544,0.726233,1.419561,1.286045,-0.671146,-3.743212,-5.881192,0
1545,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928,1
1546,0.611324,1.583175,2.351032,-0.816601,-3.339285,-6.576264,0
1547,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329,1
1548,0.644127,0.877168,0.761806,-0.981062,-2.823205,-5.694179,1
1549,0.814703,1.402312,0.761396,-0.702489,-4.324776,-5.476608,0
1550,0.551541,0.998240,0.761806,-0.651284,-3.267877,-10.308850,0
1551,0.814703,1.403373,0.746438,-0.662627,-4.330735,-5.561069,0
1552,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220,1
1553,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147,1
1554,0.601247,0.852485,0.775488,-0.897912,-2.728926,-6.896531,0
1555,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618,1
1556,0.715459,1.416914,1.284121,-0.516454,-3.760648,-6.186147,0
1557,0.611324,1.548450,2.427753,-0.998074,-1.846648,-8.417904,0
1558,0.715224,1.416829,1.284121,-0.514251,-3.760319,-6.534329,0
1559,0.594631,1.518699,2.547681,-0.999989,-1.792185,-5.722469,0
1560,0.594262,1.460579,2.499595,-0.988039,-1.790725,-10.308850,0
1561,0.814703,1.402312,0.761396,-0.702489,-4.324776,-5.476608,0
1562,0.814703,1.403758,0.746438,-0.659337,-4.330735,-5.946311,0
1563,0.594631,1.518699,2.547681,-0.999989,-1.792185,-5.722469,0
1564,0.715224,1.416914,1.284121,-0.513422,-3.760319,-6.576264,0
1565,0.594642,0.852485,0.761806,-0.779178,-2.636991,-7.935787,0
1566,0.551541,0.998240,0.761806,-0.651284,-3.267877,-10.308850,0
1567,0.726233,1.417386,1.270064,-0.654912,-3.743212,-8.417904,0
1568,0.646974,1.703311,2.345459,-0.999260,-1.928939,-5.694179,0
1569,0.715459,1.418345,1.294484,-0.540555,-3.760648,-6.168354,0
1570,0.726233,1.419775,1.275636,-0.631937,-3.743212,-10.308850,0
1571,0.726691,1.429206,1.275636,-0.544877,-3.743266,-6.186147,0
1572,0.555084,1.460579,2.499595,-0.802112,-3.092711,-6.738295,0
1573,0.642897,1.703311,2.345459,-0.683051,-3.475726,-6.738295,0
1574,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255,1
1575,0.611324,1.583175,2.345421,-0.783969,-3.339285,-7.006220,0
1576,0.594631,1.519596,2.379994,-0.883334,-3.290711,-6.732961,0
1577,0.611806,1.550964,2.262923,-0.742044,-3.340834,-5.946311,0
1578,0.611206,1.550964,2.262923,-0.731144,-3.338248,-7.655255,0
1579,0.728820,1.419775,1.275636,-0.657392,-3.700822,-6.791926,0
1580,0.623544,1.296577,2.135342,-0.982383,-1.869421,-8.369867,0
1581,0.548937,0.997852,0.780005,-0.667476,-3.241599,-7.935787,0
1582,0.599138,0.852485,0.761806,-0.839545,-2.727468,-7.006220,0
1583,0.644301,0.888340,0.761806,-0.897620,-2.905997,-5.476608,0
1584,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917,1
1585,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354,1
1586,0.726233,1.419561,1.286045,-0.671146,-3.743212,-5.881192,0
1587,0.642897,0.874233,0.740902,-0.951854,-2.904533,-5.567164,1
1588,0.611324,1.583175,2.351032,-0.816601,-3.339285,-6.576264,0
1589,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928,1
1590,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329,1
1591,0.645270,0.881334,0.761806,-0.959524,-2.823888,-5.567164,1
1592,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220,1
1593,0.715459,1.416914,1.284121,-0.516454,-3.760648,-6.186147,0
1594,0.601247,0.852485,0.775488,-0.897912,-2.728926,-6.896531,0
1595,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618,1
1596,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147,1
1597,0.611324,1.548450,2.427753,-0.998074,-1.846648,-8.417904,0
1598,0.715224,1.416829,1.284121,-0.514251,-3.760319,-6.534329,0
1599,0.814703,1.402620,0.761396,-0.699593,-4.324776,-5.694209,0
1600,0.594631,1.518699,2.547681,-0.999989,-1.792185,-5.722469,0
1601,0.594262,1.460579,2.499595,-0.988039,-1.790725,-10.308850,0
1602,0.814703,1.402225,0.746138,-0.672379,-4.330735,-5.394627,0
1603,0.814703,1.403758,0.746438,-0.659337,-4.330735,-5.946311,0
1604,0.715224,1.416914,1.284121,-0.513422,-3.760319,-6.576264,0
1605,0.726233,1.419775,1.275636,-0.631937,-3.743212,-10.308850,0
1606,0.594642,0.852485,0.761806,-0.779178,-2.636991,-7.935787,0
1607,0.726233,1.417386,1.270064,-0.654912,-3.743212,-8.417904,0
1608,0.646974,1.703311,2.345459,-0.999260,-1.928939,-5.694179,0
1609,0.715459,1.418345,1.294484,-0.540555,-3.760648,-6.168354,0
1610,0.814703,1.402620,0.761396,-0.699593,-4.324776,-5.694209,0
1611,0.611206,1.550964,2.262923,-0.731144,-3.338248,-7.655255,0
1612,0.726691,1.429206,1.275636,-0.544877,-3.743266,-6.186147,0
1613,0.555084,1.460579,2.499595,-0.802112,-3.092711,-6.738295,0
1614,0.642897,1.703311,2.345459,-0.683051,-3.475726,-6.738295,0
1615,0.611324,1.583175,2.345421,-0.783969,-3.339285,-7.006220,0
1616,0.594631,1.519596,2.379994,-0.883334,-3.290711,-6.732961,0
1617,0.611806,1.550964,2.262923,-0.742044,-3.340834,-5.946311,0
1618,0.623544,1.296577,2.135342,-0.982383,-1.869421,-8.369867,0
1619,0.548937,0.997852,0.780005,-0.667476,-3.241599,-7.935787,0
1620,0.728820,1.419775,1.275636,-0.657392,-3.700822,-6.791926,0
1621,0.599138,0.852485,0.761806,-0.839545,-2.727468,-7.006220,0
1622,0.644301,0.888340,0.761806,-0.897620,-2.905997,-5.476608,0
1623,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917,1
1624,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255,1
1625,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354,1
1626,0.642897,0.874233,0.740902,-0.951854,-2.904533,-5.567164,1
1627,0.611324,1.583175,2.351032,-0.816601,-3.339285,-6.576264,0
1628,0.814703,1.402312,0.761396,-0.702489,-4.324776,-5.476608,0
1629,0.645270,0.881334,0.761806,-0.959524,-2.823888,-5.567164,1
1630,0.726233,1.419561,1.286045,-0.671146,-3.743212,-5.881192,0
1631,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928,1
1632,0.551541,0.998240,0.761806,-0.651284,-3.267877,-10.308850,0
1633,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329,1
1634,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147,1
1635,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618,1
1636,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220,1
1637,0.601247,0.852485,0.775488,-0.897912,-2.728926,-6.896531,0
1638,0.715459,1.416914,1.284121,-0.516454,-3.760648,-6.186147,0
1639,0.611324,1.548450,2.427753,-0.998074,-1.846648,-8.417904,0
1640,0.594262,1.460579,2.499595,-0.988039,-1.790725,-10.308850,0
1641,0.594631,1.518699,2.547681,-0.999989,-1.792185,-5.722469,0
1642,0.715224,1.416914,1.284121,-0.513422,-3.760319,-6.576264,0
1643,0.814703,1.402225,0.746138,-0.672379,-4.330735,-5.394627,0
1644,0.594642,0.852485,0.761806,-0.779178,-2.636991,-7.935787,0
1645,0.551541,0.998240,0.761806,-0.651284,-3.267877,-10.308850,0
1646,0.726233,1.417386,1.270064,-0.654912,-3.743212,-8.417904,0
1647,0.646974,1.703311,2.345459,-0.999260,-1.928939,-5.694179,0
1648,0.814703,1.402312,0.761396,-0.702489,-4.324776,-5.476608,0
1649,0.715459,1.418345,1.294484,-0.540555,-3.760648,-6.168354,0
1650,0.726233,1.419775,1.275636,-0.631937,-3.743212,-10.308850,0
1651,0.726691,1.429206,1.275636,-0.544877,-3.743266,-6.186147,0
1652,0.555084,1.460579,2.499595,-0.802112,-3.092711,-6.738295,0
1653,0.642897,1.703311,2.345459,-0.683051,-3.475726,-6.738295,0
1654,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255,1
1655,0.611324,1.583175,2.345421,-0.783969,-3.339285,-7.006220,0
1656,0.594631,1.519596,2.379994,-0.883334,-3.290711,-6.732961,0
1657,0.611806,1.550964,2.262923,-0.742044,-3.340834,-5.946311,0
1658,0.611206,1.550964,2.262923,-0.731144,-3.338248,-7.655255,0
1659,0.623544,1.296577,2.135342,-0.982383,-1.869421,-8.369867,0
1660,0.548937,0.997852,0.780005,-0.667476,-3.241599,-7.935787,0
1661,0.728820,1.419775,1.275636,-0.657392,-3.700822,-6.791926,0
1662,0.599138,0.852485,0.761806,-0.839545,-2.727468,-7.006220,0
1663,0.644301,0.888340,0.761806,-0.897620,-2.905997,-5.476608,0
1664,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917,1
1665,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354,1
1666,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329,1
1667,0.642897,0.874233,0.740902,-0.951854,-2.904533,-5.567164,1
1668,0.611324,1.583175,2.351032,-0.816601,-3.339285,-6.576264,0
1669,0.645270,0.881334,0.761806,-0.959524,-2.823888,-5.567164,1
1670,0.600456,0.852483,0.820022,-0.957348,-2.731741,-6.632928,1
1671,0.814703,1.403758,0.746438,-0.659337,-4.330735,-5.946311,0
1672,0.715459,1.416914,1.284121,-0.516454,-3.760648,-6.186147,0
1673,0.602657,0.840788,0.794265,-0.975754,-2.728670,-6.263618,1
1674,0.598923,0.840788,0.764385,-0.971390,-2.725374,-7.006220,1
1675,0.601247,0.852485,0.775488,-0.897912,-2.728926,-6.896531,0
1676,0.643711,0.888340,0.761806,-0.903426,-2.823083,-6.186147,1
1677,0.726233,1.419561,1.286045,-0.671146,-3.743212,-5.881192,0
1678,0.814703,1.402620,0.761396,-0.699593,-4.324776,-5.694209,0
1679,0.715459,1.402230,1.294484,-0.700780,-3.760648,-5.850496,0
1680,0.594262,1.460579,2.499595,-0.988039,-1.790725,-10.308850,0
1681,0.594631,1.518699,2.547681,-0.999989,-1.792185,-5.722469,0
1682,0.715224,1.416914,1.284121,-0.513422,-3.760319,-6.576264,0
1683,0.594642,0.852485,0.761806,-0.779178,-2.636991,-7.935787,0
1684,0.551541,0.998240,0.761806,-0.651284,-3.267877,-10.308850,0
1685,0.726233,1.417386,1.270064,-0.654912,-3.743212,-8.417904,0
1686,0.646974,1.703311,2.345459,-0.999260,-1.928939,-5.694179,0
1687,0.814703,1.402312,0.761396,-0.702489,-4.324776,-5.476608,0
1688,0.715459,1.418345,1.294484,-0.540555,-3.760648,-6.168354,0
1689,0.726233,1.419775,1.275636,-0.631937,-3.743212,-10.308850,0
1690,0.726691,1.429206,1.275636,-0.544877,-3.743266,-6.186147,0
1691,0.555084,1.460579,2.499595,-0.802112,-3.092711,-6.738295,0
1692,0.642897,1.703311,2.345459,-0.683051,-3.475726,-6.738295,0
1693,0.593118,0.824913,0.739135,-0.993631,-2.720741,-7.655255,1
1694,0.611324,1.583175,2.345421,-0.783969,-3.339285,-7.006220,0
1695,0.594631,1.519596,2.379994,-0.883334,-3.290711,-6.732961,0
1696,0.611806,1.550964,2.262923,-0.742044,-3.340834,-5.946311,0
1697,0.611206,1.550964,2.262923,-0.731144,-3.338248,-7.655255,0
1698,0.623544,1.296577,2.135342,-0.982383,-1.869421,-8.369867,0
1699,0.548937,0.997852,0.780005,-0.667476,-3.241599,-7.935787,0
1700,0.728820,1.419775,1.275636,-0.657392,-3.700822,-6.791926,0
1701,0.599138,0.852485,0.761806,-0.839545,-2.727468,-7.006220,0
1702,0.644301,0.888340,0.761806,-0.897620,-2.905997,-5.476608,0
1703,0.622179,0.863258,0.757874,-0.935608,-2.793937,-6.359917,1
1704,0.644127,0.888340,0.761806,-0.919548,-2.905876,-6.168354,1
1705,0.620287,0.862110,0.763976,-0.941712,-2.791105,-6.534329,1
